albanian_title,english_title
Arkatar,Cashier
Menaxher,manager
Zyrtar per Administrate dhe Financa,Administration and Finance Officer
Gazetar,Journalist
Menaxher per rrjete sociale,Manager for social networks
Asistent i Teknologjise se Informacionit,Information Technology Assistant
Puntore,Worker
Asistent Teknik dhe Logjistike,Technical and Logistics Assistant
Arkatare,cashier
Infermiere,Nurse
Administrator-e,Administrator
Shites,seller
Kamarier,Waiter
Asistent Administrativ,Administrative Assistant
Mirembajtes i makinerive,Machine maintenance
Banakiere,bartenders
Administratore,Administrator
Teknik i kontabilietit,Accounting technician
administrata,administration
Punonjes per Kafeterine e Shkolles,Worker for the School Cafeteria
Faturist,Accountant
Ndihmes/Mekanik,Helper/Mechanic
Ndihmes per prodhim te Stiroporit,Styrofoam production aid
Mirembajtje,maintenance
Asistente Kontabilitet,Accounting Assistant
Deliver,Deliver
Kuzhinier,chef
Frizer,Hairdresser
Puntor,worker
Shitese,seller
Mesues i Gjuhes Angleze,English Language Teacher
Menaxher i rrjeteve sociale,Social media manager
Infermier ne departamentin e sterilizimit,Nurse in the sterilization department
Frizere,hairdressing
Video Editore,Video Editor
Menaxhim dhe Financa,Management and Finance
Punetore per pastrim te tepihave - mobiljeve,Workshop for cleaning carpets - furniture
Zyrtar Ligjor,Legal Officer
Elektricist,erector
Edukatore pergjegjese,Responsible educator
Administrat - Dizajn,Administration - Design
Grimere,Makeup artist
Auto Lares,Auto Lares
Edukatore,nursery governess
Transportues i mallerave,Freight forwarder
Teknike fizioterapeute,Physiotherapy techniques
Administrat,administrations
Lash Artist,Lash Artist
Shofer,Driver
ASISTENT NE ADMINISTRATE,ASSISTANT IN ADMINISTRATION
Shankiste,Shankiste
Punetor ne mobileri ne makinen CNC,Furniture worker on the CNC machine
Shites-e ne mobilieri,Sold in joinery
Krijues Kontenti,Content Creator
Titulli eshte: Shpallje Pune – Kerkohet Kamerier,The title is: Job advertisement - Waiter wanted
PUNTORE,WORKERS
Agjent i terrenit,Field Agent
Menaxher i shitjes,Sales manager
Koordinator i aktiviteteve ne teren,Coordinator of field activities
Inxhinier i elektros,Electrical engineer
Mirembajtes/Pastrues per Kamiona,Maintenance/Cleaner for Trucks
Administrate,administration
Infermiere e Pergjithshme,General Nurse
Menaxher te rrjeteve sociale,Manager of social networks
Derges e Porosive DELIVERY,Delivery of Orders DELIVERY
Mirembajtese,pipeliner
Automekanik,Auto Mechanic
Punonjes ne Shitje ne Dyqan Kepucesh,Sales employee in a shoe store
Arkitekt-e,Architect
Ndihmes Mekanik,Mechanical Assistant
Grafik design & social media,Graphic design & social media
Teknik i kontabilitetit,Accounting technician
Asistente e Kontabilitetit,Accounting Assistant
Asistent administrativ,Administrative assistant
puntore,work
Banakier,bartenders
Pastruese,cleaner
Asistente Administrative,Administrative Assistant
Asistente,Assistant
Mjeshter/Ndimes,Master/Assistant
Menaxhimi i rrjeteve sociale,Management of social networks
Artiste e thonjeve - pedikur,Nail artist - pedicure
Asistene,Assistant
Rrobaqepese,tailoring
Ndihmes menaxhere e projektit,Assistant project manager
Dizajn Grafik,Graphic Design
Punetore Administrative,Administrative Worker
Kakulante,Kakulante
Koordinator Administrativ,Administrative Coordinator
Puntor pumpe,Pump worker
Arkatare ne Dyqan,Cashier in the store
KONKURS PUNE,JOB COMPETITION
Agjent i shitjes,Sales agent
Agjent i Shitjes,Sales Agent
Ndihmes kuzhiniere ne Restaurant,Assistant cook in the restaurant
Ndimes mjeshter,Ndimes master
Infermiere e pergjithshme,General nurse
DEPOIST,Warehouse keeper
Mekanik,mechanical
Video Editor & Fotograf,Video Editor & Photographer
Praktikant i ndertimtarise,Construction intern
Frizere/Grimere,Hairdresser/Make-up
Administrator,Administrator
Monter,Fitter
Mentor i fushave STEAM,Mentor of STEAM fields
SHANKIST,CHANKIST
Arkitekte,architect
Teknik ne teren,Technician in the field
Free Shop Market,Free Shop Market
Menaxher - elektricist,Manager - electrician
DYQAN,STORE
Infermiere/Asistente e Stomatologjise,Nurse/Dental Assistant
Punetor Administrativ,Administrative Worker
Depoist,Warehouse keeper
Vozites,oarsman
Veterinar i Diplomuar,Graduated Veterinarian
Menaxhim i rrjetev sociale nadabags,Management of social networks nadabags
Kerkese per Punetor,Request for Worker
Adrijan Hashani B.I.,Adrijan Hashani B.I.
Šaban Fehimovic B.I.,Šaban Fehimovic B.I.
Punetor ne mobileri,Furniture worker
Doktor i stomatologjise,Doctor of dentistry
Kamarier dhe barist (shankist),Waiter and bartender
Miljaim Kuljići B.I.,Miljaim Kuljići B.I.
Asistente e Dentistit,Dentist's Assistant
perpunim metalik,metal processing
KAMARIER,Waiter
Kamarjer,Waiter
Asistente Juridike,Legal Assistant
Punetore,workers
infermier e pergjithshme,general nurse
Asistent ne adminstrate,Administrative assistant
Doktor i Stomatologjise,Doctor of Dentistry
Asistente Projekti,Project Assistant
Zyrtar i administrates,Administration official
Shites online,Sold online
Konkurs pune ne Mobileri,Mobile job competition
IT,IT
Punetor Ndihmes,Assistant Worker
Administrim dhe mirembajtje,Administration and maintenance
Keshilluese bukurie,Beauty consultant
ADMINISTRATA,ADMINISTRATION
Punetor ne Sera,Worker in Greenhouse
Asistente programimit,Programming assistant
Zyrtare Administrative/ Shitje,Administrative Officer/ Sales
Inxhinier Arkitekt,Architect Engineer
Menaxher rrjeteve sociale,Social network manager
Punonjese ne administrate,Employee in the administration
Arkitekt/Inxhinier,Architect/Engineer
Shankist,Shankist
Inxhiner/Arkitekt,Engineer/Architect
Murselj Durmiši B.I.,Murselj Durmiši B.I.
Dizajner per krijimin e tattoo-ve,Designer for creating tattoos
Monter/Montues,Fitter/Fitter
Punetore shitese ne lokal,Sales worker in the bar
Mirembajtes/patrues,Maintenance/cleaning
Zyrtar pe Financa,Finance Officer
